日期,交易笔数,交易金额
2024-11-01,61,4141599.94
2024-11-02,22,192432.66999999998
2024-11-03,23,203282.51
2024-11-04,87,2048102.03
2024-11-05,155,3621726.02
2024-11-06,174,3130859.29
2024-11-07,198,6278303.48
2024-11-08,511,13877939.31
2024-11-09,144,2962265.25
2024-11-10,246,4608476.32
2024-11-11,273,5838579.09
2024-11-12,223,4388173.54
2024-11-13,214,10558289.05
2024-11-14,246,6113277.78
2024-11-15,346,9507121.84
2024-11-16,85,991668.0
2024-11-17,66,833091.08
2024-11-18,224,4788495.66
2024-11-19,169,3321925.2
2024-11-20,176,4028530.55
2024-11-21,160,2881434.45
2024-11-22,165,2735212.69
2024-11-23,58,997459.32
2024-11-24,60,743735.34
2024-11-25,340,5972124.99
2024-11-26,220,5434897.2
2024-11-27,195,4065119.5
2024-11-28,247,5881934.42
2024-11-29,350,8058290.82
2024-11-30,226,4710874.49
2024-12-01,36,507241.94
2024-12-02,80,1438336.51
2024-12-03,106,2389596.56
2024-12-04,73,1936015.62
2024-12-05,177,3765852.18
2024-12-06,191,4690765.2
2024-12-07,42,884959.49
2024-12-08,56,1117597.7
2024-12-09,443,12432106.78
2024-12-10,613,16043765.61
2024-12-11,250,5507913.53
2024-12-12,201,3536762.83
2024-12-13,238,4806756.8
2024-12-14,131,2314557.69
2024-12-15,143,2708452.51
2024-12-16,224,3716111.52
2024-12-17,172,3588393.98
2024-12-18,195,4046519.9899999998
2024-12-19,188,3051760.59
2024-12-20,236,4884420.82
2024-12-21,59,1254213.71
2024-12-22,54,696591.97
2024-12-23,270,4588589.06
2024-12-24,250,3844581.07
2024-12-25,269,5476619.93
2024-12-26,203,4407262.28
2024-12-27,198,4526936.3
2024-12-28,73,8321995.74
2024-12-29,56,1212620.0
2024-12-30,271,6879440.61
2024-12-31,287,5695914.2
2025-01-01,18,400241.38
2025-01-02,37,338564.14
2025-01-03,73,2445276.7
2025-01-04,32,502787.15
2025-01-05,33,288524.54
2025-01-06,123,3017991.93
2025-01-07,265,7644999.51
2025-01-08,242,5654567.97
2025-01-09,450,11449784.45
2025-01-10,565,15928401.08
2025-01-11,100,1651248.59
2025-01-12,79,1197320.97
2025-01-13,240,6200222.63
2025-01-14,282,14744954.68
2025-01-15,421,8243870.83
2025-01-16,191,3842625.01
2025-01-17,187,3640222.29
2025-01-18,93,2194358.14
2025-01-19,101,1840035.87
2025-01-20,321,8230464.49
2025-01-21,225,3927613.21
2025-01-22,226,6628048.95
2025-01-23,243,7440484.12
2025-01-24,267,9316005.74
2025-01-25,210,3518396.62
2025-01-26,216,4996607.12
2025-01-27,164,3241278.67
2025-01-28,32,490169.16000000003
2025-01-29,7,254154.53
2025-01-30,20,378011.65
2025-01-31,69,1663189.3599999999
2025-02-01,6,89092.45999999999
2025-02-02,4,30670.77
2025-02-03,7,123217.92
2025-02-04,4,87200.67
2025-02-05,54,564163.03
2025-02-06,25,454805.80000000005
2025-02-07,43,997929.63
2025-02-08,66,1278227.64
2025-02-09,85,1464223.83
2025-02-10,503,12860107.87
2025-02-11,298,7776651.1
2025-02-12,245,5762883.85
2025-02-13,269,5710425.67
2025-02-14,386,8947341.68
2025-02-15,299,6679063.24
2025-02-16,107,1927256.36
2025-02-17,299,5679695.85
2025-02-18,228,4388678.99
2025-02-19,195,3396421.21
2025-02-20,229,5246617.66
2025-02-21,158,2525726.35
2025-02-22,71,1096467.02
2025-02-23,41,655199.94
2025-02-24,293,6020904.56
2025-02-25,294,5674835.14
2025-02-26,243,5292842.94
2025-02-27,264,4901001.94
2025-02-28,439,8381160.25
2025-03-01,20,197084.83000000002
2025-03-02,11,195624.18
2025-03-03,63,1082332.77
2025-03-04,93,1744258.64
2025-03-05,138,2937265.24
2025-03-06,134,3858185.62
2025-03-07,250,6245775.46
2025-03-08,102,1502741.45
2025-03-09,89,1401961.0
2025-03-10,699,19240948.91
2025-03-11,241,4841252.97
2025-03-12,226,3565628.58
2025-03-13,201,3774927.76
2025-03-14,310,6855878.03
2025-03-15,209,3419344.87
2025-03-16,75,1097966.23
2025-03-17,213,3594661.0
2025-03-18,179,3679896.7
2025-03-19,132,2739170.27
2025-03-20,196,3999573.53
2025-03-21,150,2725040.98
2025-03-22,49,628574.9299999999
2025-03-23,52,790904.79
2025-03-24,234,3597060.98
2025-03-25,240,6104647.99
2025-03-26,173,3190570.68
2025-03-27,161,2684974.55
2025-03-28,224,4250447.42
2025-03-29,74,1357729.19
2025-03-30,116,2062986.93
2025-03-31,393,8634156.52
2025-04-01,43,519921.93
2025-04-02,37,604084.69
2025-04-03,85,9300564.51
2025-04-04,29,352226.8
2025-04-05,63,741031.94
2025-04-06,41,499781.38
2025-04-07,195,4136378.93
2025-04-08,311,8484341.51
2025-04-09,333,8658656.22
2025-04-10,663,16560278.49
2025-04-11,223,4617678.03
2025-04-12,66,1066696.56
2025-04-13,52,737966.25
2025-04-14,267,5077731.85
2025-04-15,403,7876958.33
2025-04-16,171,3111054.87
2025-04-17,169,3740109.71
2025-04-18,140,3198879.39
2025-04-19,57,841403.85
2025-04-20,77,1405790.8
2025-04-21,235,4107232.58
2025-04-22,168,2571616.84
2025-04-23,153,3110862.9
2025-04-24,161,2207331.7
2025-04-25,191,3078441.93
2025-04-26,83,1261589.34
2025-04-27,172,2689000.96
2025-04-28,211,4419683.56
2025-04-29,244,4630739.01
2025-04-30,398,7350991.57
